row,column,cor,p
FS,HB,0.235829094621427,3.82921257669228e-07
BLS,SHR,0.234306198806047,4.57035508646713e-07
RS,BB,0.23041863784655,7.14072104647132e-07
LF,SHR,0.229211617919691,8.18885535138085e-07
SR,NBS,0.228582979347703,8.79171087105046e-07
LB,GS,0.228036911157239,9.34975094760923e-07
RS,HB,0.223313164716821,1.58210260842005e-06
WM,NBS,0.221912759991415,1.84504906482842e-06
BS,RS,0.21765231447095,2.92751739570848e-06
GS,SHR,0.215382276652926,3.72993607832949e-06
HB,GS,0.214726414965305,3.99840793621178e-06
LS,RTG,0.211892990357858,5.38541189524418e-06
LS,RGS,0.210256173341001,6.38466338823261e-06
BB,SHR,0.196419401608877,2.5527886886537e-05
HB,SHB,0.196155655658647,2.61873321972138e-05
LB,BB,0.195096639007133,2.90013461841791e-05
RH,WH,0.192635672866262,3.66870164026458e-05
WH,DH,0.192635672866262,3.66870164026458e-05
WH,SHB,0.191964605056012,3.90958579151391e-05
SS,LF,0.191090152690926,4.24597697685282e-05
LM,BLS,0.190604128521712,4.44459419109809e-05
LS,GS,0.189044586892579,5.14288118306111e-05
LS,RS,0.187220842077214,6.09076929205971e-05
FS,LF,0.182924783854965,9.01554824391419e-05
RTH,LB,0.182583995374327,9.29691654396035e-05
NB,LB,0.179671782961961,0.00012061873988966
LF,LB,0.177399748277225,0.000147373544725174
RH,HB,0.177152510919539,0.000150599368120822
DH,HB,0.177152510919539,0.000150599368120822
RH,LF,0.17622526142013,0.000163297349373921
DH,LF,0.17622526142013,0.000163297349373921
RB,NBS,0.168781699865636,0.000308198647579901
LS,BB,0.168642238900166,0.000311811016032455
RT,RB,0.156540331236345,0.00082818015497468
BLB,BLS,0.153777467961596,0.00102535292191849
DP,BLB,0.153599348570665,0.00103944341261157
RB,WM,0.15201186652692,0.00117314583791137
LF,WM,0.147275052289481,0.00167187409808603
WH,LF,0.146679125937788,0.00174681559092942
RTH,LF,0.146290798871095,0.00179729368876269
LF,BLB,0.143130860944109,0.00226046619278212
NB,LM,0.142066174484068,0.00243955672172879
WH,PM,0.137846930449944,0.00328375051672552
LF,HB,0.137601320327713,0.00334023337488397
RT,RH,0.135168936331482,0.0039491178890968
RT,DH,0.135168936331482,0.0039491178890968
DP,LF,0.13360046679221,0.00439329581007259
SS,RGS,0.130174177870909,0.00552422069767071
SS,RTG,0.129731125470565,0.00568815014259119
RH,BLS,0.129638584087595,0.00572293761118304
DH,BLS,0.129638584087595,0.00572293761118304
SHB,SHR,0.124613284048607,0.00792442456679408
LM,BS,0.124188658103488,0.00814126914963586
SS,HB,0.121454322908007,0.00966886272625044
NBS,SHR,0.118632116082236,0.0115075990678965
BLB,SHR,0.117924904996187,0.0120142794401066
DP,SHR,0.117099062904246,0.012630817533215
PM,SHB,0.114152744932422,0.015063788637472
LM,LB,0.11400411464712,0.0151967497506438
SS,GS,0.111749782543427,0.0173434276703548
DP,SHB,0.106124761788269,0.0238908791923762
LF,GS,0.106045333228546,0.0239968740619269
WH,DP,0.104514401580258,0.0261207123265176
BLS,NBS,0.10414820743745,0.0266520922403022
DP,HB,0.103834574982818,0.0271145726726165
BLS,SHB,0.10310902082028,0.0282110004696421
LM,RS,0.100858020149955,0.0318581516917381
LF,RS,0.0992241332557436,0.0347513527122392
LM,LS,0.0984979284193954,0.036107373687216
BS,SHR,0.0973777727418936,0.0382870503332457
PM,RTG,0.0951712856040244,0.0429077055572274
WM,BLB,0.0943673900540431,0.0447040339382752
PM,RGS,0.0942823434688085,0.0448977186818333
SS,BB,0.0941740731275765,0.0451453132022004
NB,BLB,-0.0955728020475149,0.042033523006076
RH,WM,-0.0968769177842371,0.0392971422327598
DH,WM,-0.0968769177842371,0.0392971422327598
RT,LB,-0.0983590286982724,0.036371795060396
DP,LB,-0.101402296635472,0.0309412383343829
RH,BS,-0.11016488477366,0.0190071073719933
DH,BS,-0.11016488477366,0.0190071073719933
BLB,BS,-0.111681842935566,0.0174120433896961
RT,BS,-0.112556543223021,0.0165465290154504
BLB,LB,-0.154222039551863,0.000990949339212599
BS,SHB,-0.164567676711466,0.000436527950362543
